reading_id,timestamp,hour,day_of_week,zone,tag_id,metric,value,classification,alert,pipeline_latency_ms,battery_co2_saved_g
1,2026-08-01 00:00:00,0,Saturday,greenhouse-B,b2b9437aae35,temperature_c,18.35,NORMAL,False,0.543,0.48
2,2026-08-01 00:05:00,0,Saturday,greenhouse-A,bdd640fb7d62,rssi_dbm,-55.1,NORMAL,False,0.358,0.96
3,2026-08-01 00:05:00,0,Saturday,greenhouse-A,17fc695a771f,temperature_c,16.13,NORMAL,False,0.521,1.44
4,2026-08-01 00:05:00,0,Saturday,greenhouse-B,8b8148f670dd,temperature_c,18.17,NORMAL,False,0.269,1.92
5,2026-08-01 00:05:00,0,Saturday,greenhouse-B,472293896e3d,temperature_c,18.57,NORMAL,False,0.484,2.4
6,2026-08-01 00:10:00,0,Saturday,greenhouse-A,a3b1799d0cce,rssi_dbm,-58.5,NORMAL,False,0.406,2.88
7,2026-08-01 00:10:00,0,Saturday,greenhouse-A,392456de347a,temperature_c,15.67,NORMAL,False,0.381,3.36
8,2026-08-01 00:10:00,0,Saturday,greenhouse-B,8b8148f670dd,temperature_c,18.49,NORMAL,False,0.253,3.84
9,2026-08-01 00:10:00,0,Saturday,greenhouse-B,b2b9437aae35,temperature_c,17.83,NORMAL,False,0.388,4.32
10,2026-08-01 00:15:00,0,Saturday,greenhouse-A,a3b1799d0cce,temperature_c,16.1,NORMAL,False,0.487,4.8
11,2026-08-01 00:15:00,0,Saturday,greenhouse-A,6c0311990f41,temperature_c,17.13,NORMAL,False,0.544,5.28
12,2026-08-01 00:15:00,0,Saturday,greenhouse-A,17fc695a771f,temperature_c,16.44,NORMAL,False,3.614,5.76
13,2026-08-01 00:15:00,0,Saturday,greenhouse-B,8b8148f670dd,rssi_dbm,-62.9,NORMAL,False,0.238,6.24
14,2026-08-01 00:15:00,0,Saturday,greenhouse-B,de8a774b51be,rssi_dbm,-64.0,NORMAL,False,0.376,6.72
15,2026-08-01 00:15:00,0,Saturday,greenhouse-B,472293896e3d,rssi_dbm,-61.2,NORMAL,False,0.301,7.2
